track_id,track_name,artist(s)_name,artist_count,released_year,in_spotify_charts,streams,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,total_playlists,bpm_category,danceability_%_category,valence_%_category,energy_%_category,acousticness_%_category,instrumentalness_%_category,liveness_%_category,speechiness_%_category
1207987,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,14,142095275,14,5,192,50,85,52,11,0,28,6,577,high,low,high,low,medium,low,high,medium
3007244,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,27,618885532,121,1,163,54,40,67,0,0,9,17,6010,high,low,medium,medium,low,low,low,high
7325433,Counting Stars,OneRepublic,1,2013,43,2011464183,97,11,122,66,48,71,6,0,12,4,32788,medium,medium,medium,medium,low,low,medium,low
6698200,Ghost,Justin Bieber,1,2021,24,1167330737,38,0,154,61,41,74,21,0,40,6,6068,high,medium,medium,medium,medium,low,high,medium
3153550,Under The Influence,Chris Brown,1,2019,26,929964809,181,0,117,73,31,69,6,0,11,4,3995,medium,medium,low,medium,low,low,medium,low
7143216,PRC,"Natanael Cano, Peso Pluma",2,2023,26,436027885,143,6,138,78,89,83,10,0,12,5,990,medium,high,high,high,medium,low,medium,medium
7806612,Gasolina,Daddy Yankee,1,2004,18,657723613,95,0,96,86,74,80,33,0,8,6,7008,low,high,high,high,medium,low,low,medium
1928790,One Dance,"Drake, WizKid, Kyla",3,2016,24,2713922350,107,0,104,77,36,63,1,0,36,5,47321,medium,medium,medium,medium,low,low,high,medium
6735267,Enchanted,Taylor Swift,1,2010,16,621660989,101,0,164,45,24,62,8,0,16,3,4701,high,low,low,medium,medium,low,medium,low
1961503,Save Your Tears,The Weeknd,1,2020,13,1591223784,115,0,118,68,61,82,2,0,50,3,12997,medium,medium,medium,high,low,low,high,low
3451143,Sure Thing,Miguel,1,2010,19,950906471,125,6,81,68,51,60,3,0,19,10,14373,low,medium,medium,medium,low,low,medium,medium
6552512,Every Breath You Take - Remastered 2003,The Police,1,1983,19,1593270737,74,0,117,82,73,45,54,0,7,3,23579,medium,high,high,low,high,low,low,low
1630789,The Night We Met,Lord Huron,1,2015,35,1410088830,82,1,174,45,10,37,97,25,64,4,19524,high,low,low,low,high,high,high,low
4242212,We Found Love,"Rihanna, Calvin Harris",2,2011,21,1235005533,91,1,128,73,60,77,3,0,11,4,41771,medium,medium,medium,high,low,low,medium,low
3509026,When I Was Your Man,Bruno Mars,1,2012,11,1661187319,0,0,145,60,43,27,94,0,14,4,3226,high,medium,medium,low,high,low,medium,low
1611239,Let Me Down Slowly,Alec Benjamin,1,2018,19,1374581173,0,0,150,65,51,55,73,0,14,3,6782,high,medium,medium,medium,high,low,medium,low
6609930,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,16,94186466,60,1,90,60,13,53,4,0,21,4,772,low,medium,low,low,low,low,medium,low
2664577,Do I Wanna Know?,Arctic Monkeys,1,2013,26,1788326445,92,1,85,55,42,53,17,0,22,3,36649,low,low,medium,low,medium,low,medium,low
8580552,Demons,Imagine Dragons,1,2012,13,1840364617,82,4,180,33,38,71,20,0,28,5,30184,high,low,medium,medium,medium,low,high,medium
6720570,������������,YOASOBI,1,2023,16,143573775,102,1,166,57,84,94,11,0,37,9,399,high,low,high,high,medium,low,high,medium
